FIPSCode;BoroCode;GeogName;GeoID;Pop2;Pop2P;Hsp1;Hsp1P;WNH;WNHP;BNH;BNHP;ANH;ANHP;ONH;ONHP;TwoPlNH;TwoPlNHP
061;1;Manhattan;10033002011;112;100;11;9,8;73;65,2;0;;21;18,8;1;0,9;6;5,4
061;1;Manhattan;10033002012;75;100;10;13,3;51;68;0;;6;8;4;5,3;4;5,3
061;1;Manhattan;10033002013;338;100;9;2,7;265;78,4;2;0,6;37;10,9;0;;25;7,4
061;1;Manhattan;10033002014;194;100;22;11,3;138;71,1;0;;19;9,8;0;;15;7,7
061;1;Manhattan;10033002015;10;100;9;90;0;;1;10;0;;0;;0;
061;1;Manhattan;10033002016;292;100;16;5,5;234;80,1;0;;28;9,6;0;;14;4,8
061;1;Manhattan;10033002017;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10033002018;152;100;10;6,6;121;79,6;5;3,3;4;2,6;2;1,3;10;6,6
061;1;Manhattan;10033002019;80;100;5;6,3;46;57,5;0;;2;2,5;6;7,5;21;26,3
061;1;Manhattan;10033003000;1000;100;53;5,3;730;73;15;1,5;130;13;1;0,1;71;7,1
061;1;Manhattan;10033003001;27;100;4;14,8;9;33,3;0;;9;33,3;0;;5;18,5
061;1;Manhattan;10033003002;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10033003003;127;100;11;8,7;85;66,9;4;3,1;18;14,2;1;0,8;8;6,3
061;1;Manhattan;10033003004;616;100;24;3,9;467;75,8;16;2,6;91;14,8;4;0,6;14;2,3
061;1;Manhattan;10033004000;131;100;10;7,6;98;74,8;3;2,3;12;9,2;0;;8;6,1
061;1;Manhattan;10033004001;208;100;4;1,9;168;80,8;1;0,5;10;4,8;0;;25;12
061;1;Manhattan;10033004002;386;100;15;3,9;301;78;4;1;47;12,2;0;;19;4,9
061;1;Manhattan;10033004003;230;100;21;9,1;181;78,7;0;;22;9,6;0;;6;2,6
061;1;Manhattan;10033004004;163;100;10;6,1;108;66,3;0;;32;19,6;6;3,7;7;4,3
061;1;Manhattan;10033004005;454;100;29;6,4;325;71,6;9;2;66;14,5;0;;25;5,5
061;1;Manhattan;10034001000;1042;100;143;13,7;621;59,6;41;3,9;173;16,6;6;0,6;58;5,6
061;1;Manhattan;10034001001;875;100;151;17,3;552;63,1;27;3,1;92;10,5;10;1,1;43;4,9
061;1;Manhattan;10034002000;744;100;154;20,7;432;58,1;41;5,5;82;11;2;0,3;33;4,4
061;1;Manhattan;10034002001;832;100;159;19,1;528;63,5;29;3,5;53;6,4;10;1,2;53;6,4
061;1;Manhattan;10034003000;283;100;32;11,3;201;71;1;0,4;37;13,1;4;1,4;8;2,8
061;1;Manhattan;10034003001;854;100;145;17;554;64,9;43;5;50;5,9;18;2,1;44;5,2
061;1;Manhattan;10034003002;722;100;87;12;521;72,2;17;2,4;61;8,4;10;1,4;26;3,6
061;1;Manhattan;10034004000;593;100;79;13,3;381;64,2;19;3,2;78;13,2;13;2,2;23;3,9
061;1;Manhattan;10034004001;1067;100;189;17,7;669;62,7;26;2,4;133;12,5;11;1;39;3,7
061;1;Manhattan;10036011000;370;100;178;48,1;62;16,8;34;9,2;72;19,5;12;3,2;12;3,2
061;1;Manhattan;10036011001;501;100;173;34,5;110;22;30;6;167;33,3;3;0,6;18;3,6
061;1;Manhattan;10036012000;366;100;131;35,8;175;47,8;5;1,4;42;11,5;1;0,3;12;3,3
061;1;Manhattan;10036012001;595;100;280;47,1;111;18,7;74;12,4;123;20,7;4;0,7;3;0,5
061;1;Manhattan;10036013000;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10036013001;884;100;230;26;305;34,5;19;2,1;294;33,3;9;1;27;3,1
061;1;Manhattan;10036013002;797;100;203;25,5;267;33,5;257;32,2;44;5,5;13;1,6;13;1,6
061;1;Manhattan;10036021000;648;100;62;9,6;475;73,3;21;3,2;65;10;6;0,9;19;2,9
061;1;Manhattan;10036021001;687;100;56;8,2;511;74,4;8;1,2;77;11,2;3;0,4;32;4,7
